"velocity:0","velocity:1","velocity:2","Points:0","Points:1","Points:2"
15.877,0,0,1.35,-1.05,0
15.866,0,0,1.3,-1.05,0
15.853,0,0,1.25,-1.05,0
15.837,0,0,1.2,-1.05,0
15.82,0,0,1.15,-1.05,0
15.8,0,0,1.1,-1.05,0
15.779,0,0,1.05,-1.05,0
15.755,0,0,1,-1.05,0
15.73,0,0,0.95,-1.05,0
15.704,0,0,0.9,-1.05,0
15.676,0,0,0.85,-1.05,0
15.646,0,0,0.8,-1.05,0
15.616,0,0,0.75,-1.05,0
15.585,0,0,0.7,-1.05,0
15.553,0,0,0.65,-1.05,0
15.521,0,0,0.6,-1.05,0
15.489,0,0,0.55,-1.05,0
15.858,0.0034179,0,2.95,-1,0
15.864,0.0071904,0,2.95,-0.9498,0
15.86,-0.00027039,0,2.9,-1,0
15.867,-0.00063977,0,2.9,-0.95,0
15.875,0.011656,0,2.95,-0.8996,0
15.857,-0.0032722,0,2.85,-1,0
15.864,-0.0069391,0,2.85,-0.95,0
15.878,-0.0011242,0,2.9,-0.9,0
15.891,0.01724,0,2.95,-0.84939,0
15.852,-0.0060221,0,2.8,-1,0
15.858,-0.012719,0,2.8,-0.95,0
15.874,-0.011379,0,2.85,-0.9,0
15.895,-0.0016762,0,2.9,-0.85,0
15.914,0.024862,0,2.9502,-0.79985,0
15.845,-0.008117,0,2.75,-1,0
15.849,-0.017105,0,2.75,-0.95,0
15.867,-0.020681,0,2.8002,-0.90049,0
15.89,-0.01676,0,2.8502,-0.85061,0
15.919,-0.0020618,0,2.9004,-0.80065,0
15.944,0.035753,0,2.9504,-0.74993,0
15.836,-0.0094137,0,2.7,-1,0
15.839,-0.019803,0,2.7,-0.95,0
15.856,-0.027816,0,2.7502,-0.90047,0
15.881,-0.030668,0,2.8004,-0.85095,0
15.912,-0.023871,0,2.8503,-0.80117,0
15.951,-0.0021436,0,2.9007,-0.75182,0
15.986,0.051454,0,2.9505,-0.70037,0
15.826,-0.0097832,0,2.65,-1,0
15.827,-0.020567,0,2.65,-0.95,0
15.843,-0.032179,0,2.7002,-0.90049,0
15.867,-0.04118,0,2.7505,-0.8513,0
15.9,-0.043773,0,2.8006,-0.80177,0
15.942,-0.03257,0,2.851,-0.75277,0
15.996,-0.0017159,0,2.9009,-0.70218,0
16.041,0.073992,0,2.9499,-0.65042,0
15.816,-0.009209,0,2.6,-1,0
15.816,-0.019359,0,2.6,-0.95,0
